1|Walmart|www.walmart.com
2|Exxon Mobil|www.exxonmobil.com
3|Apple|www.apple.com
4|Berkshire Hathaway|www.berkshirehathaway.com
5|McKesson|www.mckesson.com
6|UnitedHealth Group|www.unitedhealthgroup.com
7|CVS Health|www.cvshealth.com
8|General Motors|www.gm.com
9|Ford Motor|www.ford.com
10|AT&T|www.att.com
11|General Electric|www.ge.com
12|AmerisourceBergen|www.amerisourcebergen.com
13|Verizon|www.verizon.com
14|Chevron|www.chevron.com
15|Costco|www.costco.com
16|Fannie Mae|www.fanniemae.com
17|Kroger|www.thekrogerco.com
18|Amazon.com|www.amazon.com
19|Walgreens Boots Alliance|www.walgreensbootsalliance.com
20|HP|www.hp.com
21|Cardinal Health|www.cardinal.com
22|Express Scripts Holding|www.express-scripts.com
23|J.P. Morgan Chase|www.jpmorganchase.com
24|Boeing|www.boeing.com
25|Microsoft|www.microsoft.com
26|Bank of America Corp.|www.bankofamerica.com
27|Wells Fargo|www.wellsfargo.com
28|Home Depot|www.homedepot.com
29|Citigroup|www.citigroup.com
30|Phillips 66|www.phillips66.com
31|IBM|www.ibm.com
32|Valero Energy|www.valero.com
33|Anthem|www.antheminc.com
34|Procter & Gamble|www.pg.com
35|State Farm Insurance Cos.|www.statefarm.com
36|Alphabet|www.google.com
37|Comcast|www.comcastcorporation.com
38|Target|www.target.com
39|Johnson & Johnson|www.jnj.com
40|MetLife|www.metlife.com
41|Archer Daniels Midland|www.adm.com
42|Marathon Petroleum|www.marathonpetroleum.com
43|Freddie Mac|www.freddiemac.com
44|PepsiCo|www.pepsico.com
45|United Technologies|www.utc.com
46|Aetna|www.aetna.com
47|Lowe’s|www.lowes.com
48|UPS|www.ups.com
49|AIG|www.aig.com
50|Prudential Financial|www.prudential.com
51|Intel|www.intel.com
52|Humana|www.humana.com
53|Disney|www.disney.com
54|Cisco Systems|www.cisco.com
55|Pfizer|www.pfizer.com
56|Dow Chemical|www.dow.com
57|Sysco|www.sysco.com
58|FedEx|www.fedex.com
59|Caterpillar|www.caterpillar.com
60|Lockheed Martin|www.lockheedmartin.com
61|New York Life Insurance|www.newyorklife.com
62|Coca-Cola|www.coca-colacompany.com
63|HCA Holdings|www.hcahealthcare.com
64|Ingram Micro|www.ingrammicro.com
65|Energy Transfer Equity|www.energytransfer.com
66|Tyson Foods|www.tysonfoods.com
67|American Airlines Group|www.aa.com
68|Delta Air Lines|www.delta.com
69|Nationwide|www.nationwide.com
70|Johnson Controls|www.johnsoncontrols.com
71|Best Buy|www.bestbuy.com
72|Merck|www.merck.com
73|Liberty Mutual Insurance Group|www.libertymutual.com
74|Goldman Sachs Group|www.gs.com
75|Honeywell International|www.honeywell.com
76|Massachusetts Mutual Life Insurance|www.massmutual.com
77|Oracle|www.oracle.com
78|Morgan Stanley|www.morganstanley.com
79|Cigna|www.cigna.com
80|United Continental Holdings|www.unitedcontinentalholdings.com
81|Allstate|www.allstate.com
82|TIAA|www.tiaa.org
83|INTL FCStone|www.intlfcstone.com
84|CHS|www.chsinc.com
85|American Express|www.americanexpress.com
86|Gilead Sciences|www.gilead.com
87|Publix Super Markets|www.publix.com
88|General Dynamics|www.generaldynamics.com
89|TJX|www.tjx.com
90|ConocoPhillips|www.conocophillips.com
91|Nike|www.nike.com
92|World Fuel Services|www.wfscorp.com
93|3M|www.3m.com
94|Mondelez International|www.mondelezinternational.com
95|Exelon|www.exeloncorp.com
96|Twenty-First Century Fox|www.21cf.com
97|Deere|www.johndeere.com
98|Tesoro|www.tsocorp.com
99|Time Warner|www.timewarner.com
100|Northwestern Mutual|www.northwesternmutual.com
101|DuPont|www.dupont.com
102|Avnet|www.avnet.com
103|Macy’s|www.macysinc.com
104|Enterprise Products Partners|www.enterpriseproducts.com
105|Travelers Cos.|www.travelers.com
106|Philip Morris International|www.pmi.com
107|Rite Aid|www.riteaid.com
108|Tech Data|www.techdata.com
109|McDonald’s|www.aboutmcdonalds.com
110|Qualcomm|www.qualcomm.com
111|Sears Holdings|www.searsholdings.com
112|Capital One Financial|www.capitalone.com
113|EMC|www.emc.com
114|USAA|www.usaa.com
115|Duke Energy|www.duke-energy.com
116|Time Warner Cable|www.twc.com
117|Halliburton|www.halliburton.com
118|Northrop Grumman|www.northropgrumman.com
119|Arrow Electronics|www.arrow.com
120|Raytheon|www.raytheon.com
121|Plains GP Holdings|www.plainsallamerican.com
122|US Foods Holding|www.usfoods.com
123|AbbVie|www.abbvie.com
124|Centene|www.centene.com
125|Community Health Systems|www.chs.net
126|Alcoa|www.alcoa.com
127|International Paper|www.internationalpaper.com
128|Emerson Electric|www.emerson.com
129|Union Pacific|www.up.com
130|Amgen|www.amgen.com
131|U.S. Bancorp|www.usbank.com
132|Staples|www.staples.com
133|Danaher|www.danaher.com
134|Whirlpool|www.whirlpoolcorp.com
135|Aflac|www.aflac.com
